t	x	y

0.000000e+0	0.000000e+0	0.000000e+0
2.000000e-4	3.419952e-3	3.419952e-3
4.000000e-4	6.057576e-3	4.816959e-3
6.000000e-4	3.676288e-3	2.338292e-3
8.000000e-4	6.064915e-3	3.156178e-3
1.000000e-3	3.414303e-3	1.179039e-3
1.200000e-3	6.788785e-3	4.473185e-3
1.400000e-3	3.585082e-3	4.226263e-3
1.600000e-3	6.852132e-3	7.227134e-3
1.800000e-3	3.532483e-3	9.965049e-3
2.000000e-3	5.349956e-3	9.578124e-3
2.200000e-3	6.054267e-3	7.371042e-3
2.400000e-3	3.293593e-3	1.079095e-2
2.600000e-3	6.711150e-3	1.420425e-2
2.800000e-3	3.292336e-3	1.603995e-2
3.000000e-3	5.679873e-3	1.685537e-2
3.200000e-3	5.678036e-3	1.389207e-2
3.400000e-3	3.388563e-3	1.710660e-2
3.600000e-3	6.683636e-3	2.018343e-2
3.800000e-3	3.320791e-3	2.092508e-2
4.000000e-3	6.731684e-3	2.431989e-2
4.200000e-3	3.537610e-3	2.402773e-2
4.400000e-3	6.377606e-3	2.591880e-2
4.600000e-3	3.416040e-3	2.474848e-2
4.800000e-3	6.834577e-3	2.816451e-2
5.000000e-3	3.976266e-3	2.669188e-2
5.200000e-3	6.637214e-3	2.814476e-2
5.400000e-3	3.790935e-3	2.663942e-2
5.600000e-3	6.943467e-3	2.933386e-2
5.800000e-3	4.093967e-3	3.274528e-2
6.000000e-3	4.333945e-3	3.000347e-2
6.200000e-3	7.727735e-3	3.335091e-2
6.400000e-3	7.029050e-3	2.998664e-2
6.600000e-3	5.411644e-3	2.671684e-2
6.800000e-3	8.659066e-3	2.966474e-2
7.000000e-3	5.565143e-3	2.895161e-2
7.200000e-3	8.088923e-3	3.007986e-2
7.400000e-3	6.878957e-3	2.667061e-2
7.600000e-3	7.537523e-3	2.440467e-2
7.800000e-3	6.834335e-3	2.103903e-2
8.000000e-3	7.855780e-3	1.927574e-2
8.200000e-3	6.567590e-3	1.588040e-2
8.400000e-3	8.623617e-3	1.597539e-2
8.600000e-3	5.227512e-3	1.823182e-2
8.800000e-3	7.344405e-3	1.845470e-2
9.000000e-3	7.746480e-3	1.588355e-2
9.200000e-3	5.060904e-3	1.929615e-2
9.400000e-3	7.113499e-3	1.938398e-2
9.600000e-3	5.831226e-3	1.598739e-2
9.800000e-3	6.840694e-3	1.420622e-2
1.000000e-2	6.168423e-3	1.085031e-2
1.020000e-2	6.783343e-3	8.529457e-3
1.040000e-2	5.659131e-3	5.111558e-3
1.060000e-2	8.036530e-3	5.904089e-3
1.080000e-2	5.073120e-3	4.739555e-3
1.100000e-2	8.432052e-3	7.990905e-3
1.120000e-2	6.308874e-3	5.154308e-3
1.140000e-2	6.864082e-3	2.760283e-3
1.160000e-2	9.550012e-3	4.273333e-3
1.180000e-2	6.136668e-3	5.667794e-3
1.200000e-2	9.464831e-3	8.834811e-3
1.220000e-2	7.180096e-3	1.204570e-2
1.240000e-2	4.523393e-3	1.008171e-2
1.260000e-2	4.993357e-3	7.587211e-3
1.280000e-2	7.958528e-3	9.794212e-3
1.300000e-2	1.116285e-2	1.262643e-2
1.320000e-2	1.221657e-2	1.091175e-2
1.340000e-2	1.006026e-2	8.115305e-3
1.360000e-2	6.963293e-3	1.136483e-2
1.380000e-2	1.018862e-2	1.425333e-2
1.400000e-2	6.951840e-3	1.725584e-2
1.420000e-2	5.667739e-3	1.385963e-2
1.440000e-2	8.043820e-3	1.464919e-2
1.460000e-2	1.134071e-2	1.773097e-2
1.480000e-2	1.203651e-2	1.551283e-2
1.500000e-2	9.052934e-3	1.441250e-2
1.520000e-2	9.691478e-3	1.212122e-2
1.540000e-2	1.083256e-2	1.054124e-2
1.560000e-2	8.222636e-3	1.393500e-2
1.580000e-2	9.264294e-3	1.220208e-2
1.600000e-2	1.010764e-2	1.018193e-2
1.620000e-2	6.885851e-3	1.002282e-2
1.640000e-2	6.339941e-3	6.714683e-3
1.660000e-2	8.678882e-3	7.420864e-3
1.680000e-2	1.209547e-2	1.083147e-2
1.700000e-2	1.419722e-2	1.102234e-2
1.720000e-2	1.331429e-2	7.615735e-3
1.740000e-2	9.970852e-3	8.195603e-3
1.760000e-2	1.130791e-2	6.934248e-3
1.780000e-2	1.145712e-2	4.104584e-3
1.800000e-2	8.242379e-3	3.910791e-3
1.820000e-2	1.141136e-2	6.648860e-3
1.840000e-2	9.956491e-3	3.303156e-3
1.860000e-2	8.924648e-3	4.975128e-3
1.880000e-2	7.822980e-3	1.556084e-3
1.900000e-2	1.062936e-2	3.363657e-3
1.920000e-2	7.217718e-3	5.405449e-3
1.940000e-2	1.024880e-2	7.781936e-3
1.960000e-2	7.237901e-3	6.771539e-3
1.980000e-2	1.065779e-2	1.019133e-2
2.000000e-2	7.666165e-3	9.117135e-3
2.020000e-2	1.066856e-2	1.141959e-2
2.040000e-2	7.249171e-3	1.321842e-2
2.060000e-2	1.020146e-2	1.539255e-2
2.080000e-2	8.762768e-3	1.204080e-2
2.100000e-2	6.111780e-3	1.006447e-2
2.120000e-2	9.530212e-3	1.348020e-2
2.140000e-2	7.016181e-3	1.123023e-2
2.160000e-2	5.270259e-3	8.040930e-3
2.180000e-2	8.435262e-3	1.076843e-2
2.200000e-2	5.089999e-3	1.136266e-2
2.220000e-2	6.905222e-3	1.097134e-2
2.240000e-2	5.714714e-3	7.559521e-3
2.260000e-2	6.776631e-3	5.857284e-3
2.280000e-2	5.671365e-3	2.438391e-3
2.300000e-2	6.947130e-3	1.074958e-3
2.320000e-2	4.542310e-3	-1.365567e-3
2.340000e-2	7.888851e-3	1.851764e-3
2.360000e-2	6.947160e-3	-1.562303e-3
2.380000e-2	6.253080e-3	-4.925160e-3
2.400000e-2	8.419308e-3	-4.597167e-3
2.420000e-2	5.273689e-3	-1.414987e-3
2.440000e-2	7.487802e-3	-9.837217e-4
2.460000e-2	6.672104e-3	-4.378166e-3
2.480000e-2	6.021409e-3	-7.726823e-3
2.500000e-2	9.159346e-3	-5.070975e-3
2.520000e-2	5.950182e-3	-5.291792e-3
2.540000e-2	8.817097e-3	-3.333443e-3
2.560000e-2	5.491891e-3	-6.191178e-4
2.580000e-2	3.818030e-3	-3.855850e-3
2.600000e-2	5.454707e-3	-4.587138e-3
2.620000e-2	8.839179e-3	-1.265435e-3
2.640000e-2	1.128509e-2	-3.171587e-4
2.660000e-2	1.068452e-2	-3.647524e-3
2.680000e-2	7.360118e-3	-3.208602e-3
2.700000e-2	8.725932e-3	-4.421324e-3
2.720000e-2	8.746836e-3	-7.365515e-3
2.740000e-2	5.733485e-3	-8.367650e-3
2.760000e-2	9.108349e-3	-5.072451e-3
2.780000e-2	6.806488e-3	-7.672724e-3
2.800000e-2	4.990113e-3	-1.080980e-2
2.820000e-2	8.162906e-3	-8.061609e-3
2.840000e-2	4.805141e-3	-7.364485e-3
2.860000e-2	6.845513e-3	-7.302074e-3
2.880000e-2	5.289850e-3	-1.060402e-2
2.900000e-2	7.042277e-3	-1.111693e-2
2.920000e-2	4.317812e-3	-1.292836e-2
2.940000e-2	7.551990e-3	-1.001610e-2
2.960000e-2	4.204125e-3	-7.410083e-3
2.980000e-2	7.228230e-3	-5.051632e-3
3.000000e-2	5.825931e-3	-8.415990e-3
3.020000e-2	6.390183e-3	-1.079908e-2
3.040000e-2	6.121394e-3	-1.395900e-2
3.060000e-2	5.784886e-3	-1.716052e-2
3.080000e-2	6.426458e-3	-1.944798e-2
3.100000e-2	4.887437e-3	-2.275789e-2
3.120000e-2	8.050181e-3	-2.003638e-2
3.140000e-2	4.634790e-3	-1.858739e-2
3.160000e-2	8.048998e-3	-1.518339e-2
3.180000e-2	4.654984e-3	-1.290528e-2
3.200000e-2	7.236888e-3	-1.164064e-2
3.220000e-2	7.727762e-3	-1.411093e-2
3.240000e-2	5.749167e-3	-1.710458e-2
3.260000e-2	9.029144e-3	-1.406872e-2
3.280000e-2	5.852731e-3	-1.444136e-2
3.300000e-2	8.824243e-3	-1.221815e-2
3.320000e-2	5.770614e-3	-1.308038e-2
3.340000e-2	9.059180e-3	-1.002122e-2
3.360000e-2	5.807293e-3	-7.057625e-3
3.380000e-2	7.910413e-3	-6.863865e-3
3.400000e-2	9.354348e-3	-7.942035e-3
3.420000e-2	7.011300e-3	-4.688107e-3
3.440000e-2	8.747183e-3	-5.232688e-3
3.460000e-2	8.936382e-3	-8.024336e-3
3.480000e-2	6.885593e-3	-5.021432e-3
3.500000e-2	6.994331e-3	-7.888451e-3
3.520000e-2	8.867025e-3	-8.166585e-3
3.540000e-2	6.138836e-3	-4.748341e-3
3.560000e-2	8.764004e-3	-3.381063e-3
3.580000e-2	8.106726e-3	-6.731972e-3
3.600000e-2	7.779467e-3	-9.928009e-3
3.620000e-2	9.021832e-3	-1.134614e-2
